code,name,short_name,district_level,parent_code,province_code,city_code,full_name,pinyin,pinyin_initial,sort_no
110000,北京市,北京,1,,110000,,北京市,bei jing,b,1
110101,东城区,东城,3,110000,110000,,北京市/东城区,dong cheng,d,2
110102,西城区,西城,3,110000,110000,,北京市/西城区,xi cheng,x,3
110105,朝阳区,朝阳,3,110000,110000,,北京市/朝阳区,chao yang,c,4
110106,丰台区,丰台,3,110000,110000,,北京市/丰台区,feng tai,f,5
110107,石景山区,石景山,3,110000,110000,,北京市/石景山区,shi jing shan,s,6
110108,海淀区,海淀,3,110000,110000,,北京市/海淀区,hai dian,h,7
110109,门头沟区,门头沟,3,110000,110000,,北京市/门头沟区,men tou gou,m,8
110111,房山区,房山,3,110000,110000,,北京市/房山区,fang shan,f,9
110112,通州区,通州,3,110000,110000,,北京市/通州区,tong zhou,t,10
110113,顺义区,顺义,3,110000,110000,,北京市/顺义区,shun yi,s,11
110114,昌平区,昌平,3,110000,110000,,北京市/昌平区,chang ping,c,12
110115,大兴区,大兴,3,110000,110000,,北京市/大兴区,da xing,d,13
110116,怀柔区,怀柔,3,110000,110000,,北京市/怀柔区,huai rou,h,14
110117,平谷区,平谷,3,110000,110000,,北京市/平谷区,ping gu,p,15
110118,密云区,密云,3,110000,110000,,北京市/密云区,mi yun,m,16
110119,延庆区,延庆,3,110000,110000,,北京市/延庆区,yan qing,y,17
120000,天津市,天津,1,,120000,,天津市,tian jin,t,18
120101,和平区,和平,3,120000,120000,,天津市/和平区,he ping,h,19
120102,河东区,河东,3,120000,120000,,天津市/河东区,he dong,h,20
120103,河西区,河西,3,120000,120000,,天津市/河西区,he xi,h,21
120104,南开区,南开,3,120000,120000,,天津市/南开区,nan kai,n,22
120105,河北区,河北,3,120000,120000,,天津市/河北区,he bei,h,23
120106,红桥区,红桥,3,120000,120000,,天津市/红桥区,hong qiao,h,24
120110,东丽区,东丽,3,120000,120000,,天津市/东丽区,dong li,d,25
120111,西青区,西青,3,120000,120000,,天津市/西青区,xi qing,x,26
120112,津南区,津南,3,120000,120000,,天津市/津南区,jin nan,j,27
120113,北辰区,北辰,3,120000,120000,,天津市/北辰区,bei chen,b,28
120114,武清区,武清,3,120000,120000,,天津市/武清区,wu qing,w,29
120115,宝坻区,宝坻,3,120000,120000,,天津市/宝坻区,bao di,b,30
120116,滨海新区,滨海新区,3,120000,120000,,天津市/滨海新区,bin hai xin qu,b,31
120117,宁河区,宁河,3,120000,120000,,天津市/宁河区,ning he,n,32
120118,静海区,静海,3,120000,120000,,天津市/静海区,jing hai,j,33
120119,蓟州区,蓟州,3,120000,120000,,天津市/蓟州区,ji zhou,j,34
130000,河北省,河北,1,,130000,,河北省,he bei,h,35
130100,石家庄市,石家庄,2,130000,130000,130100,河北省/石家庄市,shi jia zhuang,s,36
130102,长安区,长安,3,130100,130000,130100,河北省/石家庄市/长安区,chang an,c,37
130104,桥西区,桥西,3,130100,130000,130100,河北省/石家庄市/桥西区,qiao xi,q,38
130105,新华区,新华,3,130100,130000,130100,河北省/石家庄市/新华区,xin hua,x,39
130107,井陉矿区,井陉矿区,3,130100,130000,130100,河北省/石家庄市/井陉矿区,jing xing kuang qu,j,40
130108,裕华区,裕华,3,130100,130000,130100,河北省/石家庄市/裕华区,yu hua,y,41
130109,藁城区,藁城,3,130100,130000,130100,河北省/石家庄市/藁城区,gao cheng,g,42
130110,鹿泉区,鹿泉,3,130100,130000,130100,河北省/石家庄市/鹿泉区,lu quan,l,43
130111,栾城区,栾城,3,130100,130000,130100,河北省/石家庄市/栾城区,luan cheng,l,44
130121,井陉县,井陉,3,130100,130000,130100,河北省/石家庄市/井陉县,jing xing,j,45
130123,正定县,正定,3,130100,130000,130100,河北省/石家庄市/正定县,zheng ding,z,46
130125,行唐县,行唐,3,130100,130000,130100,河北省/石家庄市/行唐县,xing tang,x,47
130126,灵寿县,灵寿,3,130100,130000,130100,河北省/石家庄市/灵寿县,ling shou,l,48
130127,高邑县,高邑,3,130100,130000,130100,河北省/石家庄市/高邑县,gao yi,g,49
130128,深泽县,深泽,3,130100,130000,130100,河北省/石家庄市/深泽县,shen ze,s,50
130129,赞皇县,赞皇,3,130100,130000,130100,河北省/石家庄市/赞皇县,zan huang,z,51
130130,无极县,无极,3,130100,130000,130100,河北省/石家庄市/无极县,wu ji,w,52
130131,平山县,平山,3,130100,130000,130100,河北省/石家庄市/平山县,ping shan,p,53
130132,元氏县,元氏,3,130100,130000,130100,河北省/石家庄市/元氏县,yuan shi,y,54
130133,赵县,赵县,3,130100,130000,130100,河北省/石家庄市/赵县,zhao xian,z,55
130181,辛集市,辛集,3,130100,130000,130100,河北省/石家庄市/辛集市,xin ji,x,56
130183,晋州市,晋州,3,130100,130000,130100,河北省/石家庄市/晋州市,jin zhou,j,57
130184,新乐市,新乐,3,130100,130000,130100,河北省/石家庄市/新乐市,xin le,x,58
130200,唐山市,唐山,2,130000,130000,130200,河北省/唐山市,tang shan,t,59
130202,路南区,路南,3,130200,130000,130200,河北省/唐山市/路南区,lu nan,l,60
130203,路北区,路北,3,130200,130000,130200,河北省/唐山市/路北区,lu bei,l,61
130204,古冶区,古冶,3,130200,130000,130200,河北省/唐山市/古冶区,gu ye,g,62
130205,开平区,开平,3,130200,130000,130200,河北省/唐山市/开平区,kai ping,k,63
130207,丰南区,丰南,3,130200,130000,130200,河北省/唐山市/丰南区,feng nan,f,64
130208,丰润区,丰润,3,130200,130000,130200,河北省/唐山市/丰润区,feng run,f,65
130209,曹妃甸区,曹妃甸,3,130200,130000,130200,河北省/唐山市/曹妃甸区,cao fei dian,c,66
130224,滦南县,滦南,3,130200,130000,130200,河北省/唐山市/滦南县,luan nan,l,67
130225,乐亭县,乐亭,3,130200,130000,130200,河北省/唐山市/乐亭县,lao ting,l,68
130227,迁西县,迁西,3,130200,130000,130200,河北省/唐山市/迁西县,qian xi,q,69
130229,玉田县,玉田,3,130200,130000,130200,河北省/唐山市/玉田县,yu tian,y,70
130281,遵化市,遵化,3,130200,130000,130200,河北省/唐山市/遵化市,zun hua,z,71
130283,迁安市,迁安,3,130200,130000,130200,河北省/唐山市/迁安市,qian an,q,72
130284,滦州市,滦州,3,130200,130000,130200,河北省/唐山市/滦州市,luan zhou,l,73
130300,秦皇岛市,秦皇岛,2,130000,130000,130300,河北省/秦皇岛市,qin huang dao,q,74
130302,海港区,海港,3,130300,130000,130300,河北省/秦皇岛市/海港区,hai gang,h,75
130303,山海关区,山海关,3,130300,130000,130300,河北省/秦皇岛市/山海关区,shan hai guan,s,76
130304,北戴河区,北戴河,3,130300,130000,130300,河北省/秦皇岛市/北戴河区,bei dai he,b,77
130306,抚宁区,抚宁,3,130300,130000,130300,河北省/秦皇岛市/抚宁区,fu ning,f,78
130321,青龙满族自治县,青龙,3,130300,130000,130300,河北省/秦皇岛市/青龙满族自治县,qing long,q,79
130322,昌黎县,昌黎,3,130300,130000,130300,河北省/秦皇岛市/昌黎县,chang li,c,80
130324,卢龙县,卢龙,3,130300,130000,130300,河北省/秦皇岛市/卢龙县,lu long,l,81
130400,邯郸市,邯郸,2,130000,130000,130400,河北省/邯郸市,han dan,h,82
130402,邯山区,邯山,3,130400,130000,130400,河北省/邯郸市/邯山区,han shan,h,83
130403,丛台区,丛台,3,130400,130000,130400,河北省/邯郸市/丛台区,cong tai,c,84
130404,复兴区,复兴,3,130400,130000,130400,河北省/邯郸市/复兴区,fu xing,f,85
130406,峰峰矿区,峰峰矿区,3,130400,130000,130400,河北省/邯郸市/峰峰矿区,feng feng kuang qu,f,86
130407,肥乡区,肥乡,3,130400,130000,130400,河北省/邯郸市/肥乡区,fei xiang,f,87
130408,永年区,永年,3,130400,130000,130400,河北省/邯郸市/永年区,yong nian,y,88
130423,临漳县,临漳,3,130400,130000,130400,河北省/邯郸市/临漳县,lin zhang,l,89
130424,成安县,成安,3,130400,130000,130400,河北省/邯郸市/成安县,cheng an,c,90
130425,大名县,大名,3,130400,130000,130400,河北省/邯郸市/大名县,da ming,d,91
